name,team,country,profile_link
Johann Zarco,CASTROL Honda LCR,France,https://www.motogp.com/en/riders/johann-zarco/4a439bde-305a-4995-b3e7-783fa99f784a
Toprak Razgatlioglu,Prima Pramac Yamaha MotoGP,Türkiye,https://www.motogp.com/en/riders/toprak-razgatlioglu/c883a3b8-17ce-419d-b71b-32c252f6fc7e
Luca Marini,Honda HRC Castrol,Italy,https://www.motogp.com/en/riders/luca-marini/5dfc20db-c3c4-4ecd-9c7c-f6cfd042031a
Diogo Moreira,Pro Honda LCR,Brazil,https://www.motogp.com/en/riders/diogo-moreira/e2479f8e-dad8-4191-9a6c-9d4aafa8c3a3
Maverick Viñales,Red Bull KTM Tech3,Spain,https://www.motogp.com/en/riders/maverick-vinales/71df6f0d-51c3-4cdb-9f5c-51939e6f33f2
Fabio Quartararo,Monster Energy Yamaha MotoGP,France,https://www.motogp.com/en/riders/fabio-quartararo/bf95d959-6a60-44f1-84b5-ded861e62578
Franco Morbidelli,Pertamina Enduro VR46 Racing Team,Italy,https://www.motogp.com/en/riders/franco-morbidelli/4113c5f7-33c5-4246-b05b-3f81f4ddbd8f
Enea Bastianini,Red Bull KTM Tech3,Italy,https://www.motogp.com/en/riders/enea-bastianini/00db2312-15f2-4333-be5c-4bbff9d17aec
Raul Fernandez,Trackhouse MotoGP Team,Spain,https://www.motogp.com/en/riders/raul-fernandez/eec1f7dc-b115-44f6-82aa-73130e5c92cf
Brad Binder,Red Bull KTM Factory Racing,South Africa,https://www.motogp.com/en/riders/brad-binder/ade5ef32-01ea-487c-95ca-491544a668ed
Joan Mir,Honda HRC Castrol,Spain,https://www.motogp.com/en/riders/joan-mir/f55f9c34-8621-437b-ae04-ae2418720204
Pedro Acosta,Red Bull KTM Factory Racing,Spain,https://www.motogp.com/en/riders/pedro-acosta/ea39a0af-95d3-4a37-81a7-f332efdb9216
Alex Rins,Monster Energy Yamaha MotoGP,Spain,https://www.motogp.com/en/riders/alex-rins/04bf0ce4-5062-44fc-9745-ec85a8d8f8d3
Jack Miller,Prima Pramac Yamaha MotoGP,Australia,https://www.motogp.com/en/riders/jack-miller/b0c1fea6-2dd5-4e26-8a18-0ac9fe6870e4
Fabio Di Giannantonio,Pertamina Enduro VR46 Racing Team,Italy,https://www.motogp.com/en/riders/fabio-di-giannantonio/525b1551-f10b-4cfd-9b43-59af6fca654b
Fermin Aldeguer ,BK8 Gresini Racing MotoGP,Spain,https://www.motogp.com/en/riders/fermin-aldeguer-/71052114-5bce-4307-908c-4cc2bd387aac
Francesco Bagnaia,Ducati Lenovo Team,Italy,https://www.motogp.com/en/riders/francesco-bagnaia/66b78301-5826-4986-b11e-fa68a7bd77a7
Marco Bezzecchi,Aprilia Racing,Italy,https://www.motogp.com/en/riders/marco-bezzecchi/e622ec5b-5ccf-457c-a67f-ec028f0ddf6e
Alex Marquez,BK8 Gresini Racing MotoGP,Spain,https://www.motogp.com/en/riders/alex-marquez/41195f0f-9817-4a4d-913e-c1fbbb351d9b
Ai Ogura,Trackhouse MotoGP Team,Japan,https://www.motogp.com/en/riders/ai-ogura/244b6f51-ac33-40ee-876d-9401dc9d1346
Jorge Martin,Aprilia Racing,Spain,https://www.motogp.com/en/riders/jorge-martin/5b9af34e-da94-4ca2-9c4c-6be0fc8b1bbc
Marc Marquez,Ducati Lenovo Team,Spain,https://www.motogp.com/en/riders/marc-marquez/23e50438-a657-4fb0-a190-3262b5472f29
